RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
2.0,Arizona St.,P10,118.0,94.6,56.4,47.0,18.6,19.5,29.1,30.0,38.7,30.9,73.7,73.8,57.1,46.5,37.0,31.9
4.0,Utah St.,WAC,116.1,102.0,55.7,47.3,18.2,17.0,36.0,27.9,37.6,30.4,74.5,74.5,54.0,44.3,39.5,36.3
5.0,UCLA,P10,120.0,95.0,55.7,49.8,19.0,23.9,36.3,31.3,31.2,35.6,72.4,69.6,53.5,48.0,39.9,36.1
6.0,Oklahoma,B12,118.6,94.3,55.2,45.8,20.1,18.3,36.9,31.9,46.5,28.8,67.5,68.8,56.6,43.0,35.1,33.9
7.0,Gonzaga,WCC,116.9,92.5,55.2,44.2,16.4,21.3,30.8,30.4,35.5,29.5,71.5,68.4,53.3,39.4,39.4,35.2
11.0,BYU,MWC,113.8,93.6,54.8,45.9,16.5,20.1,28.3,25.7,35.2,36.3,72.8,70.4,53.6,46.3,38.1,30.2
12.0,Ohio St.,B10,112.7,96.2,54.8,47.7,21.1,21.3,28.2,34.1,38.3,24.6,70.1,69.4,53.9,44.6,37.5,34.8
14.0,Utah,MWC,110.2,93.3,54.6,45.1,21.0,15.9,27.6,25.6,39.2,36.3,78.5,71.9,54.1,42.5,37.0,34.9
16.0,Syracuse,BE,117.1,93.5,54.4,46.7,20.8,19.2,35.9,35.3,39.3,26.2,64.6,63.6,55.4,48.1,34.9,29.6
20.0,Oklahoma St.,B12,116.9,97.8,54.0,50.2,17.0,20.8,28.2,31.2,39.4,41.3,74.8,69.8,51.4,49.4,38.4,34.5
21.0,California,P10,116.8,99.4,54.0,49.0,18.0,18.5,32.5,30.8,34.3,33.0,75.5,70.5,50.3,47.7,42.7,34.9
25.0,American,Pat,104.2,99.9,53.7,45.2,21.2,20.8,31.5,29.6,31.8,35.9,64.8,72.7,52.2,43.0,37.4,33.0
29.0,Portland St.,BSky,108.1,105.0,53.5,51.0,19.8,21.4,32.7,32.6,29.8,32.6,67.1,70.6,51.1,50.4,37.6,34.8
30.0,Cornell,Ivy,107.4,102.1,53.5,46.5,19.5,19.9,32.6,30.3,32.4,33.9,73.3,70.0,50.1,46.8,40.2,30.5
31.0,Robert Morris,NEC,102.0,100.0,53.4,48.8,22.4,23.6,32.4,32.5,36.7,39.6,70.4,66.8,50.9,45.7,39.4,36.6
35.0,Kansas,B12,114.4,90.4,53.2,44.0,20.8,19.4,36.7,29.2,39.5,35.1,72.5,72.6,52.2,40.8,37.1,33.4
39.0,Arizona,P10,118.4,101.7,53.0,51.0,19.4,18.4,35.9,34.4,37.5,25.1,73.8,69.0,51.0,50.0,38.7,34.9
43.0,Pittsburgh,BE,121.4,93.2,52.9,46.5,18.2,19.2,42.5,30.1,33.0,30.2,67.5,70.2,52.8,45.1,35.4,32.9
45.0,Clemson,ACC,116.6,96.5,52.8,48.3,20.2,24.4,39.8,37.1,31.5,32.5,68.8,66.7,51.0,46.0,37.4,35.9
46.0,North Carolina,ACC,123.8,92.7,52.8,46.6,16.6,20.7,39.2,32.2,39.8,25.4,75.6,69.2,51.0,44.7,38.5,33.6
48.0,Louisville,BE,112.8,86.5,52.7,44.3,19.9,23.3,35.2,32.4,31.4,30.2,64.2,68.1,51.1,43.3,36.9,30.9
50.0,Missouri,B12,117.1,91.6,52.7,46.3,16.3,25.1,34.3,34.7,36.6,39.9,67.2,67.4,52.7,46.7,35.2,30.3
56.0,Wake Forest,ACC,111.9,93.4,52.4,45.2,21.1,20.9,36.1,31.0,43.5,32.7,71.1,70.5,53.6,45.0,32.0,30.4
59.0,Western Kentucky,SB,110.1,102.1,52.4,49.5,20.1,19.7,37.1,30.9,33.8,31.3,69.3,68.9,49.9,48.2,37.7,34.9
62.0,Xavier,A10,109.9,90.8,52.2,43.7,21.7,18.4,36.9,27.8,45.3,33.2,67.5,66.1,48.8,41.6,39.4,32.4
65.0,VCU,CAA,108.4,95.2,52.0,45.0,19.0,21.8,32.1,34.1,36.7,37.7,70.5,70.6,50.4,42.4,36.9,33.7
69.0,Butler,Horz,109.7,95.1,51.7,44.6,20.1,20.6,32.5,29.6,43.5,34.0,72.2,71.1,50.6,42.3,35.2,32.6
70.0,Cal St. Northridge,BW,102.4,97.0,51.6,48.5,24.4,23.7,36.6,32.2,34.4,42.5,69.2,73.0,50.3,48.0,36.1,32.8
72.0,Northern Iowa,MVC,109.4,100.0,51.6,48.7,18.5,17.0,28.5,26.7,41.9,31.8,75.7,71.2,51.5,46.3,34.4,35.0
