RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Jr,Stephen Curry,Davidson,SC,82.1,6.5,15.3,118,37.5,54.9,60.5,1.8,12.3,39.8,16.6,0.7,3.9,36.1,0.518,0.388
2,Sr,Eric Maynor,VCU,CAA,88,6.4,10.6,117.3,32.6,52.4,58.3,1.6,10,40.8,15.4,0.5,2.9,45.3,0.516,0.361
3,So,James Harden,Arizona St.,P12,88.3,6.3,9.8,112.8,32.6,55.3,60.7,5.5,14.6,29.2,19,1.1,3.1,59.7,0.564,0.356
4,Jr,Ty Lawson,North Carolina,ACC,69.3,6.3,14,133.7,22.7,59.8,65.3,2.3,7.6,35.7,14.9,0.4,3.8,61.6,0.555,0.462
5,So,Blake Griffin,Oklahoma,B12,80.6,6.2,12.4,117.6,31.1,65.7,64.8,14.2,32.2,16.3,18.2,3.6,1.9,70.6,0.659,0.375
6,Sr,Aaron Jackson,Duquesne,A10,90.5,6.2,8,124.3,24.9,61.1,65.4,5.8,11.7,31.4,18.7,0.3,2.6,45.5,0.613,0.405
7,Jr,Luke Harangody,Notre Dame,BE,82.9,6.2,8.2,110.1,33.9,47,52,10.6,25.2,14.3,9.2,2.5,1.6,35.1,0.465,0.368
8,Sr,Lester Hudson,Tennessee Martin,OVC,90.6,6.1,11.6,115.3,35.5,51.7,56,6.5,18.3,27.3,15,1.7,3.3,24.7,0.517,0.345
9,Sr,Ben Woodside,North Dakota St.,Sum,86.5,6.1,7.5,118.1,33.3,52.5,59.8,1,10.1,36.6,16.6,0.4,2.5,54.3,0.479,0.417
10,Jr,Jerome Randle,California,P12,86.9,6.1,8.2,121.8,25.2,60.9,65.9,1.6,8.8,28.3,19.6,0,1.2,42.3,0.534,0.463
11,Sr,Tyler Hansbrough,North Carolina,ACC,69.3,6,8.8,124.7,26.5,52.4,61.3,10.7,16.6,5.9,12.2,1.1,2.2,68.2,0.521,0.391
12,Jr,Chase Budinger,Arizona,P12,93.7,5.8,8.5,117.5,23.9,55.4,59.4,4.9,14.8,19,16.6,1.4,2.3,34.2,0.528,0.399
13,Sr,Toney Douglas,Florida St.,ACC,90.7,5.8,9.7,115.7,27.6,52.5,58.1,2.7,9.1,20.2,14.6,1.3,2.9,43.3,0.489,0.385
14,Jr,Jodie Meeks,Kentucky,SEC,85.9,5.8,7.8,118.9,27.9,56.6,62.9,2,8.6,11.7,15.8,0.4,2.2,41.2,0.521,0.406
15,Sr,Jeff Ayres,Arizona St.,P12,80.2,5.8,7.5,130.8,20.2,66,69,11,21.9,6.7,12.3,3.3,1,48.3,0.662,0
16,Sr,Jermaine Taylor,UCF,CUSA,79.8,5.7,11.3,112.9,36.1,55.1,58.6,7.2,12.1,17.3,14.7,2.7,2.3,28.1,0.543,0.375
17,Sr,Marcus Thornton,LSU,SEC,79.1,5.6,11.2,119.4,28.9,54.4,58,7.1,11.9,15.4,11.6,1.2,2.9,36.9,0.522,0.388
18,Sr,Ryan Toolson,Utah Valley,ind,91.4,5.6,5.9,118.7,30.5,52.7,61,1.7,10.9,20.4,14.7,0.8,1.6,46.5,0.513,0.364
19,Sr,Ahmad Nivins,Saint Joseph's,A10,96.5,5.6,6.6,119.7,22.9,61.2,67,12.5,22.6,6.1,18.3,4.6,1.3,77,0.614,0
20,So,DeJuan Blair,Pittsburgh,BE,64.5,5.5,12.3,125.8,26.2,58.4,59.3,23.7,27.6,9.3,11,3.6,3.5,44.7,0.584,0
21,Sr,Lee Cummard,BYU,MWC,82,5.5,9.6,123.6,23.9,56.7,61.9,5.6,16.1,20.5,12.3,3,1.5,36.9,0.558,0.396
22,Sr,Jack McClinton,Miami FL,ACC,79.8,5.4,9,119,26.8,56.6,61.1,2,8.8,21.1,18,0.1,1.4,29.5,0.45,0.452
23,Sr,Stefon Jackson,UTEP,CUSA,89.4,5.4,6,111.5,30.7,45.2,54.2,4.8,11.8,12.9,10.5,0.3,1.6,56.7,0.45,0.308
24,So,James Anderson,Oklahoma St.,B12,83,5.3,8.1,120.2,23.6,57.8,62.3,7.5,11.5,8.3,13.9,2.2,1.9,37.8,0.548,0.408
25,So,Jonny Flynn,Syracuse,BE,90.7,5.2,5.6,111.9,24.9,50.6,56.6,1.9,5.9,32.6,20.5,0.4,2,48,0.517,0.321
26,So,Evan Turner,Ohio St.,B10,90,5.2,7.7,107.9,29.4,51.7,58.4,6.6,17.2,25.8,21.1,2.8,3.1,57.8,0.507,0.44
27,So,Patrick Patterson,Kentucky,SEC,79.2,5.2,8.5,123.2,22.7,60.3,63.7,10.6,20.4,13.2,14.3,6.4,1,42.2,0.605,0
28,So,Talor Battle,Penn St.,B10,92.6,5.2,6.9,110.9,26.8,49.5,53.6,3,14.7,29.6,15.5,0.3,2,42.6,0.477,0.339
29,So,Malcolm Delaney,Virginia Tech,ACC,90.3,5.2,6.1,114.1,25.6,46.9,57,3.2,9.1,25.2,17.8,0.9,2.4,62.3,0.413,0.354
30,Sr,Drake Reed,Austin Peay,OVC,92.4,5.2,4.1,117.8,27,57.9,61.5,8,16,15,15,1.8,1.1,42.9,0.582,0.37
31,Sr,Brandon Ewing,Wyoming,MWC,95.9,5.2,3.3,115.9,24.2,50.3,60.3,1.4,8.3,28.2,16.3,0.3,1.4,76.9,0.5,0.338
32,So,Jeremy Hazell,Seton Hall,BE,89.3,5.2,7.1,110.2,27.9,52.1,55.9,3.9,7.3,5.1,11.9,0.1,2.8,37,0.492,0.364
33,Sr,Wesley Matthews,Marquette,BE,84.8,5.1,7.5,117.4,24.5,52.7,60.7,4.5,15.4,14.8,16.1,1.6,2.1,63.3,0.517,0.368
34,Jr,Jon Scheyer,Duke,ACC,81.8,5.1,8.9,123.3,20.5,50.4,58.5,3.9,8.8,15.7,13.1,0.5,2.8,58.2,0.411,0.385
35,Sr,Darren Collison,UCLA,P12,78.5,5.1,8.6,120.7,23.7,56.8,62.4,1.9,7.9,28.4,20.2,0.5,3.1,36.6,0.558,0.394
36,Jr,Jordan Hill,Arizona,P12,86.3,5.1,4.6,108.9,28,53.7,56,15.4,22.2,9.6,17.5,5.6,1.5,38.2,0.537,0
37,Sr,Gary Wilkinson,Utah St.,WAC,79.9,5.1,5.4,124.8,24,57.9,64,7.2,18.9,8.5,13,1.3,0.9,54.8,0.585,0.316
38,Sr,David Holston,Chicago St.,ind,87,5.1,6.9,112.8,32.9,52.7,56.7,2.9,8.9,36.1,19.2,0,4.3,28.3,0.502,0.361
39,So,Nick Calathes,Florida,SEC,83.3,5.1,9.6,114.5,27.8,56.8,59.9,3,15.7,35.9,20.7,0.5,3.3,44.9,0.555,0.39
40,Sr,Chavis Holmes,VMI,BSth,81.5,5,7.7,125.8,23.3,60.9,66.3,4.3,9.9,15.6,13.7,2.3,4.6,52.9,0.56,0.447
41,Sr,Jimmy Baron,Rhode Island,A10,79.3,5,6.9,129.1,20.4,60.2,63.1,3.5,6.2,11.1,11.2,0.4,1.2,19.3,0.482,0.454
42,Sr,Anthony Vereen,UT Arlington,Slnd,74.7,5,5.8,127.3,24.9,59.4,65.2,7.9,17.9,14.4,12.3,0.6,1.4,66.1,0.6,0.357
43,Sr,Alex Ruoff,West Virginia,BE,83.7,5,8.9,118.5,20.7,54.4,58.4,2.7,9,19.4,17.1,1,2.8,32.3,0.52,0.373
44,Jr,Nic Wise,Arizona,P12,90.6,4.9,4.4,113.3,23.3,53.6,59.1,1.3,6.8,25.2,20.9,0.3,2.5,38.5,0.476,0.415
45,Sr,John Bryant,Santa Clara,WCC,74.4,4.9,10,117.5,29.2,59,63.5,19.2,37.9,9.6,18.1,9.5,1,48.8,0.591,0
46,So,Noah Dahlman,Wofford,SC,72.4,4.9,4.7,126.6,25.8,60.3,63.5,13.4,12.5,4.4,10.3,1.3,1.3,56.4,0.61,0
