RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Sr,Frank Mason III,Kansas,B12,89.4,6.8,10,125.2,25.5,57.3,62.2,2,10.4,26.1,14.4,0.2,2,48.4,0.5,0.471
2,So,Luke Kennard,Duke,ACC,88.8,6.4,9.3,127.3,23,57.9,62.9,3.9,12.1,13.6,11.2,0.9,1.4,38.6,0.525,0.438
3,Jr,Semi Ojeleye,SMU,Amer,85.4,6.1,8.4,127.5,24.5,57.2,62.1,8.4,15,9.3,10.7,1.6,0.8,50.8,0.529,0.424
4,Sr,Derrick Walton Jr.,Michigan,B10,86.2,6.1,9.5,125.8,23.8,56.1,62.3,1.7,16.1,27.3,13.2,0.1,2,43.4,0.456,0.422
5,Sr,Monte Morris,Iowa St.,B12,86.8,6,9.4,124.2,23.8,52.3,55.5,3.7,11.3,32,8.1,0.8,2.4,23.9,0.503,0.378
6,Sr,Josh Hart,Villanova,BE,82.9,6,10.8,122.3,27.1,59,61.9,5.9,17.5,18.8,13.4,1,2.9,36.7,0.579,0.404
7,So,Mike Daum,South Dakota St.,Sum,81.6,5.9,6.3,121,33,58.8,65.5,7.9,20,11.2,14.9,1.2,1,53.3,0.564,0.419
8,Sr,Sindarius Thornwell,South Carolina,SEC,71.9,5.9,15.8,118.2,29.2,51,59,8,16.2,19.4,14.2,3.4,3.6,59,0.471,0.392
9,Jr,Marcus Keene,Central Michigan,MAC,92.8,5.8,2,110.4,37.1,53.3,58.1,1.9,9.7,31.2,17.6,0,1.1,35.8,0.513,0.369
10,So,Jawun Evans,Oklahoma St.,B12,70.8,5.7,8.5,116.1,33.3,47.5,53.3,2.8,10.8,44.2,15.9,0.5,3.2,38.6,0.453,0.376
11,Jr,Jeffrey Carroll,Oklahoma St.,B12,73.4,5.6,9.4,130.4,22.5,61.6,65.4,7.4,18.3,7.8,12.8,0.6,1.6,40.6,0.589,0.443
12,Jr,Bonzie Colson,Notre Dame,ACC,80,5.6,9.5,122.8,25.6,55.5,59.8,10.6,25.4,10.2,8.8,4.5,2,40.1,0.54,0.433
13,Fr,Markelle Fultz,Washington,P12,71.6,5.6,8.8,113.6,31.7,53.5,55.8,4,14,35.5,15.6,3.1,2.4,38.3,0.502,0.413
14,Fr,Lonzo Ball,UCLA,P12,87.6,5.5,11,129.4,20.1,66.8,67.3,3.2,14.3,31.4,18.9,2.1,2.8,28.6,0.732,0.412
15,So,Jalen Brunson,Villanova,BE,77.8,5.4,7.1,125.7,23.5,60.4,65.5,2.1,7.9,26.1,17.2,0,1.7,40.5,0.621,0.378
16,Fr,Lauri Markkanen,Arizona,P12,77,5.4,8.6,130.1,21.5,58.4,63.5,10,17.5,5.6,9.8,1.8,0.8,43.6,0.545,0.423
17,So,John Collins,Wake Forest,ACC,66.5,5.3,9.2,124.8,29.2,62.2,65.8,16.4,25.7,4.5,13.2,6.6,1.3,58.5,0.624,0
18,Jr,Rob Gray,Houston,Amer,78,5.2,9.2,114.5,31.3,53.7,57.3,3.7,9.5,21.2,13.6,0.6,2.2,27.2,0.518,0.382
19,Sr,Alec Peters,Valparaiso,Horz,76.3,5.2,7.7,117.8,29.5,52.7,59.6,8,23.2,15,13.5,1,1.2,42.8,0.514,0.369
20,Jr,Jaylen Adams,St. Bonaventure,A10,87.1,5.2,7.4,116,27.9,51.5,59.5,1.8,9.5,35.4,18.6,0.5,3.1,62.6,0.492,0.356
