RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
1,Indiana St.,MVC,118.3,101.9,59.8,49.2,16.4,15.6,23.5,23.5,33.3,26,80.5,74.4,62.5,48.7,38.1,33.4
,,,20,105,1,99,135,278,328,8,159,27,2,317,1,97,13,144
2,Wright St.,Horz,115.7,113.6,58.5,55.3,16.5,16.3,28.9,28.1,33.6,30,76,72,58.8,55,38.4,37.1
,,,31,339,2,354,146,224,171,136,154,113,37,179,5,344,10,344
3,Creighton 3,BE,120.8,96.6,57.4,46.2,15.4,11.1,26.2,24.7,24.7,15.7,78.4,78.5,59.7,45.7,36.6,31.7
,,,11,29,3,10,68,362,272,24,352,1,11,362,3,18,33,52
4,Eastern Washington,BSky,110.6,111,57.2,52.8,19,16.3,26.4,27.1,39.6,33.5,76.9,74.2,58.7,51,36.8,36.9
,,,85,289,4,298,305,225,268,99,28,205,29,312,6,205,26,336
5,Kentucky 3,SEC,122.7,102.6,57.2,49.6,14.2,15.9,28.9,30.3,30.4,33.5,77.2,71.5,54.7,49.4,40.9,33.2
,,,6,126,5,124,25,257,173,235,248,207,24,145,32,129,1,131
6,Connecticut 1,BE,127.1,92.7,57.2,44.7,14.7,16.2,36.2,26.6,32.8,32.1,74.2,72.7,59.2,43.5,36.1,31.3
,,,1,6,6,3,39,231,16,73,175,166,89,231,4,4,53,39
7,Gonzaga 5,WCC,123,98.3,57.1,46.8,14.1,16.1,33.3,27.5,31.3,25.4,72.8,72.4,58.3,44.6,36.3,33.8
,,,5,43,7,22,19,243,49,108,224,20,137,208,7,10,43,167
8,Samford 13,SC,112.4,103,56.8,50.5,17.8,21.7,30.1,31.9,36.2,37.3,72.1,68.9,55,50.3,39.5,33.8
,,,65,133,8,180,232,17,129,311,89,289,181,30,26,171,4,165
9,Cornell,Ivy,112,105.6,56.5,51.3,17,18.3,26.8,31.7,28,32.5,73.3,64.4,61.7,52,34,33.6
,,,69,182,9,221,183,93,256,305,306,180,117,1,2,250,174,160
10,Alabama 4,SEC,124.9,101.7,56.3,49.4,15.9,15.6,34.8,30.2,35.9,40.2,77.6,73.9,57.4,50.9,36.7,31.3
,,,4,103,10,112,98,277,27,225,94,327,18,296,9,200,31,38
11,Lipscomb,ASun,109.2,113.8,56.2,53.5,14.2,16.1,23.2,29.3,27.5,22.8,77.8,71.8,55.7,52.8,38.1,36.5
,,,106,343,11,322,24,244,332,196,323,9,16,166,18,291,12,325
12,Purdue 1,B10,126.8,94.9,56.2,47.3,16.3,13.8,37.9,24.2,42.4,23,72.1,72.5,53.4,47.5,40.9,31.4
,,,3,16,12,34,123,341,6,13,9,10,177,218,60,59,2,42
13,Dayton 7,A10,116.7,100.3,56.2,48.3,16,15.9,26.4,28.6,36.7,21.9,74,72.8,53.4,48.5,39.9,32
,,,25,79,13,61,104,261,266,162,81,3,95,237,61,91,3,62
14,Baylor 3,B12,122.5,100.8,55.7,51.4,17.7,17,35,26.9,40.2,31.2,73.5,73.4,53.5,52.1,39.5,33.4
,,,7,87,14,235,217,171,24,89,22,135,112,271,56,257,5,142
15,Marquette 2,BE,119.3,95.2,55.5,49.7,14.3,21.1,25.8,31,25.2,27,70.7,75.4,56.6,49.3,36,33.6
,,,17,18,15,129,31,19,283,277,348,42,243,341,12,123,58,157
16,Colorado 10,P12,118.3,98.4,55.4,49.7,18.1,15.2,32,24.7,35.1,27.3,78.4,71.1,54,50.6,39.1,32.1
,,,21,46,16,130,249,297,77,22,112,47,12,123,41,181,6,67
17,Hofstra,CAA,108.3,102.1,55.4,49,15.7,17.7,22.9,29.7,22.3,29,75.6,76.2,55.5,46.9,36.8,34.6
,,,125,115,17,87,89,127,338,214,360,87,45,353,20,43,24,235
18,Duke 4,ACC,121.8,95.9,55.3,48.7,14.2,17.1,31.9,25.8,34.3,27.7,72.1,68,54.3,49,38.1,32.1
,,,8,23,18,81,23,163,80,53,135,58,179,12,38,109,11,68
19,South Dakota St. 15,Sum,108.1,105.1,55.2,51.3,16.6,16.4,24.4,25.1,30.1,27,71.8,74.2,55.6,49.5,36.4,35.5
,,,129,169,19,222,152,215,303,33,256,41,197,314,19,135,41,284
20,Northern Colorado,BSky,106.1,110.2,55.1,52.5,15.7,15.4,23.9,25,27.8,29.1,72.7,75.2,56.4,52,35.1,35.6
,,,164,276,20,286,84,286,319,31,312,89,148,336,15,251,120,291
21,Bradley,MVC,111.6,98.8,55.1,47.6,18.1,18.3,28.1,28.2,27.5,35.1,73.5,72.2,54.9,46.5,37,33
,,,73,55,21,41,254,95,205,142,320,253,110,192,28,29,22,118
22,San Francisco,WCC,109.9,98.2,55,49.5,16.8,19.8,29.1,24.3,23.5,37.9,75.8,69.5,56.6,48.3,35.1,34.3
,,,97,40,22,115,167,38,166,16,356,298,38,49,13,85,114,213
23,Belmont,MVC,109.4,102.2,55,51.1,16.7,16.4,21,27.5,30.3,27,73.2,72,54.5,52.2,37.2,33
,,,104,119,23,209,163,217,354,110,251,40,125,181,35,262,21,117
24,Arizona 2,P12,121,92.9,54.9,48.2,16.1,18.1,35.6,23.4,36.3,25.9,71.8,71.3,54.4,47.4,37.3,33
,,,9,7,24,57,107,104,20,7,85,26,196,136,37,53,19,116
25,BYU 6,B12,119.8,99.7,54.8,48.2,15.3,16,32.8,24.6,25.4,32,74.2,69.9,57.5,48.3,34.8,32
,,,14,68,25,58,64,248,66,21,344,164,91,63,8,84,137,63
26,Chattanooga,SC,109.7,108.5,54.8,49.9,17.1,14.5,27.2,28.8,30.9,27.3,74.9,67.9,56.1,47.9,35.7,35.1
,,,102,240,26,143,186,319,242,172,237,49,68,10,16,71,81,263
27,Montana,BSky,110,110,54.7,50.7,15.1,14,25.3,26.8,28.8,34.4,79.8,71.6,55.2,50.5,35.9,34.2
,,,96,271,27,191,56,334,292,86,290,232,4,152,22,177,67,204
28,Florida Atlantic 8,Amer,116.5,102.4,54.7,49.6,16.2,16.4,33.5,29.3,34.8,27.3,72.2,72.7,56,49.2,35.1,33.6
,,,28,122,28,125,120,214,43,193,125,48,172,234,17,118,119,158
29,Drake 10,MVC,114.7,100,54.7,50.8,13.8,17.5,24.1,22.5,32.3,31.3,75.6,70.5,54.8,51.3,36.4,33.3
,,,41,76,29,195,11,138,314,2,190,137,48,90,29,220,37,136
30,Princeton,Ivy,114.6,105.6,54.6,52,12,16.9,23.9,24.7,28.3,25.1,80.1,72.5,56.5,53.5,35.2,33.2
,,,43,181,30,259,1,175,318,26,301,18,3,217,14,312,111,132
31,Illinois 3,B10,126.9,101.8,54.4,47.9,15,12.3,36.2,26.4,37.1,26.4,74.4,71.9,55.3,46.5,35.2,34.3
,,,2,104,31,43,53,360,15,67,70,31,80,176,21,28,113,212
32,St. Thomas,Sum,106.8,104.8,54.4,52,14.8,18.5,24,25.5,29.4,29,72.4,73.9,55,52.8,35.7,33.8
,,,150,161,32,260,43,80,316,46,271,86,161,299,27,292,74,168
33,Liberty,CUSA,108.3,106.4,54.3,50.8,16.2,17,24.5,25.5,26.7,30.3,66.2,72.4,55,51.9,35.7,32.3
,,,124,194,33,196,115,166,302,45,336,121,339,215,25,246,77,80
34,Stanford,P12,110.1,102.6,54.3,51.9,17.8,15.5,23.2,27.3,28.6,25.3,72.8,68.5,53.6,50.9,36.9,35.7
,,,93,125,34,255,226,281,333,104,295,19,141,23,54,201,23,296
35,Wake Forest,ACC,116.7,99.5,54.2,49.1,15.4,16.4,26.4,25.8,32,30.1,79.5,75.2,54,48.9,36.4,33.1
,,,26,66,35,94,69,212,267,54,197,115,5,335,42,103,40,126
36,Morehead St. 14,OVC,107.3,103.7,54.2,46.4,18.2,15.4,31.9,26.5,30.6,32.3,71.5,75.8,55.1,45.8,35.3,31.8
,,,139,143,36,12,264,291,83,71,242,174,209,346,24,20,104,56
37,Montana St. 16,BSky,103.5,107,54.2,52.3,16.7,18.5,20.5,28.9,30.6,36.9,72.9,71.8,53.6,54,36.7,32.7
,,,215,212,37,277,165,85,358,177,243,284,136,169,53,326,30,103
38,Auburn 4,SEC,120.9,93,54.2,43.7,15.1,18.1,32.9,30.2,38.3,41.5,75,73.4,55.1,42.9,35.2,30.2
,,,10,8,38,1,59,102,62,227,42,335,64,269,23,1,107,12
39,Colorado St. 10,MWC,112.9,96.6,54.2,48.5,15.4,16.6,24.6,26.9,31.8,31.7,75.2,73.7,57,48,33,33
