RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Sr,Zach Edey,Purdue,B10,77.1,7.7,15.4,130.0,33.1,62.4,66.1,18.8,25.3,15.0,12.4,7.4,0.5,84.5,0.623,0.5
2,Sr,Terrence Shannon Jr.,Illinois,B10,70.5,6.8,10.6,126.5,27.6,56.6,63.1,2.7,10.0,12.7,12.3,2.3,1.7,60.5,0.588,0.361
3,Sr,Mark Sears,Alabama,SEC,82.3,6.5,10.6,129.0,26.0,59.9,65.7,3.0,10.5,22.2,15.6,0.3,2.7,50.0,0.56,0.435
4,Jr,KJ Simpson,Colorado,P12,86.8,6.0,9.2,122.6,26.4,55.2,60.6,2.8,16.4,27.1,13.9,0.2,2.7,36.3,0.497,0.434
5,Sr,Jaedon LeDee,San Diego St.,MWC,79.4,6.0,10.1,120.5,30.2,58.1,62.9,11.5,17.1,10.2,14.0,2.0,2.1,68.6,0.574,0.436
6,Jr,DaRon Holmes II,Dayton,A10,80.7,5.9,11.5,119.1,31.2,58.4,62.6,6.8,23.7,19.0,13.7,7.2,1.8,72.4,0.585,0.386
7,Sr,RJ Davis,North Carolina,ACC,86.4,5.8,10.0,121.6,26.0,53.2,57.8,1.6,9.6,19.6,9.3,0.6,1.9,27.9,0.458,0.411
8,Sr,Ryan Kalkbrenner,Creighton,BE,83.9,5.8,9.7,130.2,21.1,67.3,68.5,9.6,15.1,7.4,12.0,7.7,0.7,40.4,0.711,0.302
9,Sr,Cam Spencer,Connecticut,BE,81.7,5.7,10.5,137.2,18.5,61.5,64.9,3.6,11.7,19.1,10.5,0.6,2.6,22.7,0.553,0.44
12,Sr,Tyler Kolek,Marquette,BE,68.1,5.3,9.1,118.8,26.7,56.5,60.2,2.4,14.4,42.7,19.1,0.5,2.9,26.3,0.55,0.397
13,Sr,Boo Buie,Northwestern,B10,90.6,5.3,6.3,114.4,27.8,52.9,57.5,2.2,9.5,28.7,13.7,0.2,2.4,30.1,0.441,0.434
15,Sr,Antonio Reeves,Kentucky,SEC,77.8,5.2,6.2,126.5,23.6,60.3,64.0,2.7,11.1,9.2,8.9,0.8,1.1,28.5,0.557,0.447
16,Sr,Zyon Pullin,Florida,SEC,75.5,5.2,5.8,127.4,20.5,49.3,57.4,2.2,10.1,24.7,10.3,0.3,1.5,53.4,0.442,0.449
17,Sr,Riley Minix,Morehead St.,OVC,87.3,5.2,8.1,122.7,28.1,60.4,64.0,9.7,21.1,14.4,15.3,3.1,2.1,32.7,0.651,0.342
19,Sr,Tristen Newton,Connecticut,BE,82.7,5.1,9.4,119.3,26.4,50.0,56.5,5.1,18.0,31.6,17.6,1.1,1.8,48.4,0.518,0.321
20,Sr,Baylor Scheierman,Creighton,BE,89.5,5.1,8.7,116.5,24.8,56.2,59.7,2.6,23.6,20.2,14.6,0.3,1.5,23.0,0.553,0.379
22,Sr,N'Faly Dante,Oregon,P12,47.5,5.0,11.7,120.1,24.2,69.5,68.6,10.3,24.5,11.2,18.2,6.6,3.2,50.5,0.695,0.0
29,Sr,Jalen Bridges,Baylor,B12,78.5,4.8,8.7,130.1,16.8,58.5,61.6,7.7,15.1,8.2,10.4,1.9,1.9,25.9,0.531,0.417
30,Sr,Isaiah Stevens,Colorado St.,MWC,87.5,4.8,6.7,114.9,26.0,53.8,57.5,1.7,8.9,38.8,15.6,0.5,2.1,25.3,0.491,0.421
34,Sr,L.J. Cryer,Houston,B12,78.8,4.7,8.5,122.0,21.9,52.5,55.1,2.3,6.2,12.2,7.7,0.5,2.1,14.8,0.439,0.388
36,Sr,Dalton Knecht,Tennessee,SEC,75.6,4.7,9.5,115.0,29.3,54.1,58.1,2.9,14.4,12.9,11.0,2.5,1.2,37.0,0.51,0.391
38,Sr,Marcus Domask,Illinois,B10,85.6,4.7,4.4,116.1,23.5,50.0,55.5,3.8,11.8,20.5,16.0,0.9,0.6,31.8,0.522,0.298
41,So,Kyle Filipowski,Duke,ACC,75.8,4.6,10.5,115.9,27.7,56.0,58.2,8.6,22.6,18.6,14.7,5.6,2.4,38.9,0.574,0.346
42,Sr,Enrique Freeman,Akron,MAC,81.8,4.6,7.9,118.4,28.1,61.1,64.5,11.8,32.8,10.9,17.3,5.9,1.4,59.4,0.621,0.365
43,Sr,Jeremy Roach,Duke,ACC,78.5,4.6,6.1,124.3,19.9,55.6,60.5,2.1,6.9,17.3,12.0,0.4,2.0,34.5,0.498,0.438
44,Jr,Kam Jones,Marquette,BE,69.9,4.6,8.5,119.3,25.3,60.5,61.6,1.8,9.9,16.8,10.6,0.1,2.3,16.6,0.59,0.414
45,Sr,Anton Watson,Gonzaga,WCC,79.5,4.5,9.5,126.3,20.8,60.5,61.9,9.0,16.4,13.8,12.1,2.1,2.8,35.4,0.605,0.404
47,Jr,Wade Taylor IV,Texas A&M,SEC,81.7,4.5,6.6,109.8,29.8,45.0,50.9,1.4,10.4,26.7,16.9,0.1,3.3,32.5,0.41,0.325
48,Sr,Emanuel Miller,TCU,B12,80.4,4.5,6.4,121.1,21.8,52.6,57.9,7.6,14.3,14.7,11.9,1.4,1.9,40.4,0.513,0.383
52,Jr,Tucker DeVries,Drake,MVC,84.2,4.5,7.4,109.9,30.6,51.8,56.7,2.2,20.5,21.1,13.1,1.1,2.4,34.2,0.5,0.362
54,Sr,Armando Bacot,North Carolina,ACC,75.3,4.5,7.9,122.0,22.1,55.1,60.6,11.1,25.2,9.8,13.3,4.9,1.0,53.7,0.55,0.4
