RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
1,Denver,SB,101,104.2,57,49.4,22.1,22.2,18.8,33,36.1,49.3,73.8,71.4,57.5,50,37.7,31.9
,,,193,218,1,176,247,88,344,193,184,334,34,293,1,246,39,45
2,Arizona St. 6,P10,118,94.6,56.4,47,18.6,19.5,29.1,30,38.7,30.9,73.7,73.8,57.1,46.5,37,31.9
,,,6,40,2,77,56,232,276,65,107,49,37,342,2,98,56,46
3,Eastern Kentucky,OVC,111.5,111.7,56.2,53,18.2,22.8,31.5,40.6,28.4,31.4,70,68.7,52.1,52.5,40.6,35.8
,,,45,322,3,318,45,54,213,342,331,60,134,152,40,324,6,262
4,Utah St. 11,WAC,116.1,102,55.7,47.3,18.2,17,36,27.9,37.6,30.4,74.5,74.5,54,44.3,39.5,36.3
,,,17,170,4,86,40,326,64,18,143,43,25,343,10,38,13,276
5,UCLA 6,P10,120,95,55.7,49.8,19,23.9,36.3,31.3,31.2,35.6,72.4,69.6,53.5,48,39.9,36.1
,,,3,46,5,196,72,21,58,112,297,158,63,212,19,152,12,269
6,Oklahoma 2,B12,118.6,94.3,55.2,45.8,20.1,18.3,36.9,31.9,46.5,28.8,67.5,68.8,56.6,43,35.1,33.9
,,,4,38,6,38,146,305,46,133,4,21,220,162,4,22,118,152
7,Gonzaga 4,WCC,116.9,92.5,55.2,44.2,16.4,21.3,30.8,30.4,35.5,29.5,71.5,68.4,53.3,39.4,39.4,35.2
,,,11,19,7,10,7,126,239,76,196,28,84,134,21,1,16,233
8,Sacred Heart,NEC,104,105.7,55.2,48.7,22.9,21.7,32.6,34.8,26,34.3,70,71.8,53.1,48.6,39.4,32.6
,,,139,249,8,143,286,111,172,256,342,128,132,307,23,192,15,71
9,Weber St.,BSky,102.4,98.8,55.1,48.4,21.6,20.1,23.6,27.2,40.7,37,73,71,53.6,47.6,38.2,33.3
,,,164,105,9,130,221,193,338,10,57,191,49,280,16,140,29,111
10,Samford,SC,99.9,107.6,55,50.8,21.6,22.6,21.6,37.2,35.4,30.4,68.7,67.9,57,50.9,35.3,33.7
,,,213,275,10,248,227,63,342,318,199,44,180,109,3,280,109,135
11,BYU 8,MWC,113.8,93.6,54.8,45.9,16.5,20.1,28.3,25.7,35.2,36.3,72.8,70.4,53.6,46.3,38.1,30.2
,,,26,36,11,41,8,191,298,4,202,174,52,249,14,92,34,13
12,Ohio St. 8,B10,112.7,96.2,54.8,47.7,21.1,21.3,28.2,34.1,38.3,24.6,70.1,69.4,53.9,44.6,37.5,34.8
,,,33,60,12,101,208,131,301,235,122,4,126,203,11,42,45,203
13,Florida,SEC,115.6,98.8,54.6,50.5,17.6,22,32.6,32.2,30,29.9,69.3,62.5,54.4,49.4,36.7,35.1
,,,19,101,13,234,23,92,170,147,317,35,159,1,8,229,64,228
14,Utah 5,MWC,110.2,93.3,54.6,45.1,21,15.9,27.6,25.6,39.2,36.3,78.5,71.9,54.1,42.5,37,34.9
,,,58,28,14,29,197,341,312,3,96,172,3,310,9,18,57,214
15,Duquesne,A10,114.5,105.4,54.5,52.1,19.2,22.2,32.1,35.9,37.4,33.8,69.6,69.9,55,52.1,35.9,34.8
,,,23,246,15,295,90,85,193,287,151,114,149,233,6,312,91,207
16,Syracuse 3,BE,117.1,93.5,54.4,46.7,20.8,19.2,35.9,35.3,39.3,26.2,64.6,63.6,55.4,48.1,34.9,29.6
,,,10,33,16,64,193,255,67,271,92,10,298,7,5,164,127,8
17,Oakland,Sum,112.9,107.3,54.3,51.2,19.1,18.8,35,34.9,36.3,28.4,69.9,73.2,53.6,48.4,36.9,37.6
,,,31,269,17,262,78,277,92,260,181,20,138,337,18,180,61,324
18,North Dakota St. 14,Sum,113.5,102.7,54.2,49.8,16.8,18.5,32.5,27.6,37.3,29.7,74.4,71.8,51.5,48.5,40.3,35.6
,,,29,185,18,197,13,293,174,14,154,32,27,305,51,186,8,250
19,College of Charleston,SC,107.7,107.4,54.1,49.6,18,19.4,33.4,36,32,27.8,65.9,69.1,52.3,48.4,38.2,35
,,,85,272,19,186,36,239,141,291,284,15,265,185,34,181,30,220
20,Oklahoma St. 8,B12,116.9,97.8,54,50.2,17,20.8,28.2,31.2,39.4,41.3,74.8,69.8,51.4,49.4,38.4,34.5
,,,12,81,20,219,14,152,304,110,90,273,23,225,53,231,28,178
21,California 7,P10,116.8,99.4,54,49,18,18.5,32.5,30.8,34.3,33,75.5,70.5,50.3,47.7,42.7,34.9
,,,13,117,21,157,31,294,176,87,220,93,16,253,84,143,1,210
22,North Carolina St.,ACC,113.8,102.3,53.8,47.9,21.6,16.7,35.7,32.9,37.8,28.3,71.7,73,52.5,47,37.5,33.4
,,,27,177,22,110,225,334,72,178,137,18,79,332,30,118,46,116
23,Baylor,B12,116.5,99.5,53.8,49.3,18.7,19.8,31.4,33.4,38.4,36.4,71,71.2,53.2,48.3,36.4,34.3
,,,15,118,23,172,62,206,220,210,121,175,100,288,22,177,71,170
24,Pacific,BW,107.9,102.9,53.8,49.8,19.9,20.4,32.8,30.1,35.3,34.9,67.8,71.6,51.1,47.3,38.8,35.9
