RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
1,UCLA 3,P12,123.5,100.5,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,73.8,67.9,59.1,45.3,40.6,36.5
,,,3,90,1,88,10,318,183,155,342,9,67,41,3,29,4,261
2,Saint Mary's 7,WCC,118.9,94.7,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,74.5,69.1,56.9,45.4,39.4,30
,,,15,24,2,12,93,332,55,2,332,17,51,99,5,33,16,7
3,Creighton 6,BE,115.2,96.2,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,68.3,68.9,56.4,50.2,39.8,33
,,,35,38,3,138,76,127,316,199,331,48,244,89,6,211,13,71
4,Villanova 1,BE,122.9,93.5,57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,79,70.3,59.2,49.1,36.9,31.1
,,,5,18,4,68,73,70,137,110,177,1,3,166,2,159,84,17
5,Marquette 10,BE,122.5,102.9,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,78.1,69.7,52.7,50.6,42.9,36.8
,,,7,129,5,239,85,189,247,174,284,191,7,128,48,224,1,271
6,Michigan 7,B10,124,98.6,57,51.9,14.2,19.5,24.7,30,30.1,27.2,77.9,68.3,56.3,50,38.5,37.8
,,,2,63,6,224,4,108,304,215,300,25,9,58,8,199,29,308
7,Virginia Tech 9,ACC,119,103.5,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,73.7,71.7,54.6,49,40.3,36.3
,,,14,151,7,191,79,300,324,234,41,26,72,250,20,156,9,247
8,Gonzaga 1,WCC,118.5,87.2,56.6,41.1,16.2,17.1,30,26.2,39,26.9,71.7,65.8,56.3,40,38.2,29
,,,17,1,8,1,37,264,142,49,76,19,123,8,7,2,41,2
9,Fort Wayne,Sum,108,107.6,56.4,53.5,17.8,17.8,28.8,24.6,25.8,32.3,71.8,74.2,54.9,49.9,39,39.1
,,,104,234,9,307,109,212,199,18,349,104,121,336,17,195,19,333
10,William & Mary,CAA,112.3,109.6,56.2,52.3,17.4,14.5,25.6,27.4,38.7,35.1,68.8,71.2,55.8,51,37.8,36.1
,,,50,273,10,250,88,344,287,94,80,176,225,225,9,234,56,234
11,Utah,P12,113.2,99.7,56.2,49.1,19.2,17,30.9,24.5,33.1,31.2,67.9,68.1,57.4,46.9,36,35.6
,,,43,80,11,109,223,270,110,14,246,77,263,48,4,78,126,201
12,Kansas 1,B12,122.2,95.6,56.1,48.1,17.6,18.6,34.1,29.7,36,30,67.8,71.5,53.6,45.3,40.4,35.6
,,,8,32,12,69,100,166,36,200,160,55,265,240,30,30,5,198
13,Weber St.,BSky,108,109.8,56,50.6,16.9,16.5,21.4,30.3,42.9,29.5,73.8,74.3,53,49.8,40.3,35.2
,,,105,276,13,175,66,298,338,229,13,51,69,338,41,190,8,179
14,East Tennessee St. 13,SC,108.2,98,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,69.7,72.6,55,45.7,38.2,35.4
,,,100,61,14,89,313,20,140,92,15,230,192,288,15,42,40,189
15,Purdue 4,B10,117.3,94.1,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,75.7,70.7,52.7,46.6,40.3,33.2
,,,24,21,15,51,153,292,112,12,240,3,31,191,47,65,7,77
16,Belmont,OVC,109.7,104.2,55.7,48.3,18.4,16,25.6,25,29.4,31.9,77.1,74.5,60.9,48.6,34.1,31.8
,,,77,171,16,77,160,315,285,26,315,90,13,339,1,140,217,31
17,Oregon 3,P12,118.5,94.8,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,70.8,71.9,54.5,46.1,38,31.2
,,,18,26,17,27,75,126,70,190,201,12,156,256,21,54,46,20
18,Lehigh,Pat,106.9,103.3,55.4,50.2,19.8,18.6,23.2,24.1,32,28.1,77,73.6,53.4,49,39.2,34.8
,,,118,147,18,153,263,169,326,8,271,34,14,320,34,157,17,158
19,Loyola Chicago,MVC,108.2,101.8,55.3,51.8,17.3,20.9,20.6,25.8,30.8,33.5,70.8,71,53.5,49.6,38.9,37.3
,,,101,110,19,219,81,37,342,41,288,137,157,211,33,177,21,294
20,Vermont 13,AE,111,99,55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,69.9,70.5,55.5,46.9,36.7,34.9
,,,62,69,20,84,70,100,150,79,208,15,186,179,13,79,92,164
21,Bucknell 13,Pat,109.1,99.8,55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,68.1,66,54.3,46.5,37.9,34.2
,,,87,81,21,64,208,96,262,116,126,124,251,11,24,62,50,120
22,Indiana,B10,116.3,100.9,55.2,48.7,21.4,15.7,36.4,28,34.1,36.8,72.9,70.5,54.1,47.7,38,33.7
,,,28,94,22,90,324,327,14,117,217,209,92,177,26,107,48,95
23,Akron,MAC,112.1,106.2,55.1,51,17.2,16.7,29.4,27.9,37.3,32.9,68.1,70.6,55,49,36.8,36.8
,,,53,209,23,192,78,283,171,114,123,117,252,188,16,155,89,272
24,UNC Wilmington 12,CAA,118.8,105.9,55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,68.8,70.6,55.7,54.2,36.1,34
