RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Duke,-3.8,-4,21,8,0.724,9,8,7,2,2,1,1,7,98.20%,72.80%
2,Kansas,4.4,4.6,24,8,0.75,9,7,6,5,3,2,1,4,91.40%,52.50%
3,Illinois,-0.9,0.6,15,8,0.652,8,7,4,2,1,1,0,2,84.00%,42.80%
4,North Carolina,4.1,4.2,20,6,0.769,7,7,4,4,3,1,1,4,86.60%,40.80%
5,Michigan St.,5.1,7,20,8,0.714,9,6,5,4,3,1,1,2,85.90%,40.00%
6,Florida,4.4,5.7,20,6,0.769,8,6,3,3,3,3,2,2,82.00%,39.40%
7,Stanford,-4.7,-6.3,9,8,0.529,8,6,2,1,0,0,0,3,78.10%,32.80%
8,Pittsburgh,-2.9,-1.2,10,7,0.588,7,6,4,0,0,0,0,1,68.80%,28.40%
9,Memphis,2.5,1.3,12,5,0.706,5,4,3,3,1,1,0,3,68.90%,28.30%
10,Connecticut,2.7,1.9,16,6,0.727,7,6,4,3,1,1,1,4,72.20%,25.90%
11,Arizona,1.4,-0.3,15,9,0.625,9,6,4,3,1,1,0,3,73.10%,25.80%
12,Maryland,3.1,3.9,15,5,0.75,6,6,3,2,2,1,1,1,72.60%,24.80%
13,UCLA,7,7.1,19,7,0.731,7,6,6,3,3,1,0,3,70.80%,24.40%
14,Kentucky,-0.7,-2,14,9,0.609,9,8,4,2,0,0,0,4,71.00%,24.10%
15,Cincinnati,-3.8,-3.9,6,6,0.5,6,5,1,0,0,0,0,2,61.60%,23.30%
16,Texas,1.2,0.7,16,9,0.64,9,7,5,3,1,0,0,3,69.60%,20.30%
17,Ohio St.,-1,-2.2,8,5,0.615,5,4,1,1,1,1,0,2,53.20%,17.50%
18,Wisconsin,0.7,3.4,14,9,0.609,9,7,4,2,1,0,0,1,56.10%,15.30%
19,Oklahoma St.,1.2,0.9,10,6,0.625,6,4,3,2,1,0,0,2,47.80%,14.70%
20,Oklahoma,-1.6,-3,10,7,0.588,7,5,2,2,1,0,0,2,61.00%,14.60%
21,Georgetown,2.2,2.8,9,4,0.692,4,4,3,1,1,0,0,2,45.70%,14.40%
22,Louisville,-0.2,1.5,9,6,0.6,6,4,2,2,1,0,0,0,54.50%,11.40%
23,Saint Joseph's,-1.5,-1.4,4,4,0.5,4,2,1,1,0,0,0,1,35.30%,9.80%
24,Villanova,1.7,1.4,7,4,0.636,4,3,3,1,0,0,0,1,33.20%,9.20%
25,Temple,-0.4,0.5,4,3,0.571,3,2,1,1,0,0,0,1,35.20%,9.20%
26,Syracuse,3.5,2.6,11,5,0.688,6,4,3,1,1,1,1,0,36.90%,8.70%
27,Wake Forest,-2.9,-3,5,5,0.5,5,4,1,0,0,0,0,2,45.60%,8.40%
28,Gonzaga,-0.4,-1.3,9,9,0.5,9,6,3,0,0,0,0,1,38.40%,6.20%
29,LSU,0.8,1.1,6,4,0.6,4,2,2,1,1,0,0,0,29.90%,6.00%
30,Texas A&M,0,1,4,3,0.571,3,3,1,0,0,0,0,0,24.50%,5.70%
31,Georgia Tech,1.1,1.7,6,4,0.6,4,2,1,1,1,1,0,0,29.70%,5.60%
32,North Carolina St.,-0.8,0.4,5,5,0.5,5,4,1,0,0,0,0,0,27.80%,5.50%
33,Indiana,0.2,0.7,8,7,0.533,7,4,1,1,1,1,0,0,30.70%,5.30%
34,Mississippi St.,-2.4,-2.7,4,5,0.444,5,4,0,0,0,0,0,1,28.40%,4.90%
35,Tennessee,-0.3,-1.1,7,5,0.583,5,4,3,0,0,0,0,2,29.80%,4.40%
36,Marquette,-0.8,-0.7,5,5,0.5,5,2,1,1,1,0,0,0,25.10%,4.10%
37,Xavier,1.6,2.1,9,7,0.562,7,5,2,2,0,0,0,0,27.90%,3.90%
38,Oregon,1.1,0.6,7,5,0.583,5,3,2,2,0,0,0,1,25.40%,3.70%
39,Iowa St.,-0.7,-1.3,4,3,0.571,3,2,1,1,0,0,0,2,22.40%,3.50%
40,Tulsa,2.2,3.3,5,3,0.625,3,3,1,1,0,0,0,0,12.90%,3.20%
41,Washington,0,-1.2,4,3,0.571,3,2,2,0,0,0,0,1,22.50%,3.20%
42,Boston College,-0.5,-1.5,6,6,0.5,6,5,1,0,0,0,0,0,20.00%,2.60%
43,Washington St.,-0.4,-0.4,3,2,0.6,2,2,1,0,0,0,0,0,18.60%,2.30%
44,West Virginia,3.8,4.1,7,3,0.7,3,3,3,1,0,0,0,0,16.00%,2.20%
45,Southern Illinois,-0.2,0,5,6,0.455,6,3,2,0,0,0,0,0,16.50%,2.20%
46,Davidson,0.8,1.8,3,4,0.429,4,1,1,1,0,0,0,0,8.60%,2.20%
47,Purdue,2,2.7,6,4,0.6,4,4,1,1,0,0,0,0,17.20%,1.70%
48,Notre Dame,0.1,-0.2,5,5,0.5,5,4,1,0,0,0,0,0,15.10%,1.70%
49,Iowa,-2,-2.4,1,3,0.25,3,1,0,0,0,0,0,0,10.90%,1.70%
50,Alabama,0.2,-0.4,5,5,0.5,5,3,1,1,0,0,0,1,13.70%,1.70%
51,Butler,1.9,2.3,6,5,0.545,5,4,2,0,0,0,0,0,15.40%,1.60%
52,Utah,-0.7,-0.5,3,5,0.375,5,2,1,0,0,0,0,0,10.90%,1.50%
53,Arkansas,-3.2,-2.4,1,5,0.167,5,1,0,0,0,0,0,0,11.40%,1.30%
54,Nevada,0.6,0.7,4,4,0.5,4,3,1,0,0,0,0,0,11.20%,1.30%
55,USC,0.9,0.2,5,4,0.556,4,2,2,1,0,0,0,0,12.00%,1.30%
56,Kent St.,1.4,2,4,4,0.5,4,2,1,1,0,0,0,0,7.80%,1.20%
57,Drake,-1.3,-1.2,0,1,0,1,0,0,0,0,0,0,0,7.60%,0.90%
58,George Mason,2.3,2.7,4,3,0.571,3,1,1,1,1,0,0,0,7.10%,0.90%
59,Texas Tech,-0.5,-0.5,3,4,0.429,4,2,1,0,0,0,0,0,9.90%,0.90%
60,Missouri,2.1,2.2,5,4,0.556,4,3,1,1,0,0,0,0,6.90%,0.80%
61,Georgia,-1.6,-1.7,1,3,0.25,3,1,0,0,0,0,0,0,7.90%,0.80%
62,BYU,-3.3,-3,0,5,0,5,0,0,0,0,0,0,0,8.40%,0.70%
63,Clemson,-1.4,-1.2,0,1,0,1,0,0,0,0,0,0,0,4.70%,0.70%
64,Providence,-2.1,-1.8,0,2,0,2,0,0,0,0,0,0,0,8.20%,0.70%
65,Vanderbilt,1.1,0.3,4,3,0.571,3,2,2,0,0,0,0,0,7.10%,0.60%
66,California,-1.2,-1.4,2,4,0.333,4,2,0,0,0,0,0,0,8.30%,0.60%
