RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.,R64,R32,S16,E8,F4,F2,CHAMP,BARTHAG
117,Akron,MAC,105.1,101.8,51.7,49.1,16.9,16.7,29.2,25.6,32.7,29.4,72.4,69.6,54.7,50.8,31.7,30.7,1,0,0,0,0,0,0,0.6054
10,Alabama,SEC,124.9,101.7,56.3,49.4,15.9,15.6,34.8,30.2,35.9,40.2,77.6,73.9,57.4,50.9,36.7,31.3,1,1,1,1,1,0,0,0.9213
24,Arizona,P12,121,92.9,54.9,48.2,16.1,18.1,35.6,23.4,36.3,25.9,71.8,71.3,54.4,47.4,37.3,33,1,1,1,0,0,0,0,0.9546
38,Auburn,SEC,120.9,93,54.2,43.7,15.1,18.1,32.9,30.2,38.3,41.5,75,73.4,55.1,42.9,35.2,30.2,1,0,0,0,0,0,0,0.9563
14,Baylor,B12,122.5,100.8,55.7,51.4,17.7,17,35,26.9,40.2,31.2,73.5,73.4,53.5,52.1,39.5,33.4,1,1,0,0,0,0,0,0.9046
25,BYU,B12,119.8,99.7,54.8,48.2,15.3,16,32.8,24.6,25.4,32,74.2,69.9,57.5,48.3,34.8,32,1,0,0,0,0,0,0,0.9087
46,Clemson,ACC,117.1,97.6,53.8,48,14.9,13.8,27.4,25.7,31.1,31.8,79,73.6,54.3,46.9,35.4,33.1,1,1,1,1,0,0,0,0.8722
57,Colgate,Pat,102.8,102.8,53.3,47.9,16.2,16.2,25.1,24.8,27.5,24.5,68.1,67.2,53.4,49.1,35.5,30.8,1,0,0,0,0,0,0,0.4953
90,College of Charleston,CAA,113.7,105.5,52.2,51.2,14.3,16.2,33.7,26.4,27.2,29.3,72.3,70.3,52.5,50.8,34.7,34.5,1,0,0,0,0,0,0,0.6859
16,Colorado,P12,118.3,98.4,55.4,49.7,18.1,15.2,32,24.7,35.1,27.3,78.4,71.1,54,50.6,39.1,32.1,1,1,0,0,0,0,0,0.8861
39,Colorado St.,MWC,112.9,96.6,54.2,48.5,15.4,16.6,24.6,26.9,31.8,31.7,75.2,73.7,57,48,33,33,1,0,0,0,0,0,0,0.8468
6,Connecticut,BE,127.1,92.7,57.2,44.7,14.7,16.2,36.2,26.6,32.8,32.1,74.2,72.7,59.2,43.5,36.1,31.3,1,1,1,1,1,1,1,0.9686
3,Creighton,BE,120.8,96.6,57.4,46.2,15.4,11.1,26.2,24.7,24.7,15.7,78.4,78.5,59.7,45.7,36.6,31.7,1,1,1,0,0,0,0,0.9288
13,Dayton,A10,116.7,100.3,56.2,48.3,16,15.9,26.4,28.6,36.7,21.9,74,72.8,53.4,48.5,39.9,32,1,1,0,0,0,0,0,0.859
29,Drake,MVC,114.7,100,54.7,50.8,13.8,17.5,24.1,22.5,32.3,31.3,75.6,70.5,54.8,51.3,36.4,33.3,1,0,0,0,0,0,0,0.8236
18,Duke,ACC,121.8,95.9,55.3,48.7,14.2,17.1,31.9,25.8,34.3,27.7,72.1,68,54.3,49,38.1,32.1,1,1,1,1,0,0,0,0.9265
219,Duquesne,A10,106.9,96.8,50,48.5,17.4,19.2,29.8,30.3,32.5,35,71.6,71.1,49.4,49,33.9,31.8,1,1,0,0,0,0,0,0.7503
