RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Sr,Denzel Valentine,Michigan St.,B10,72.5,6.7,14.6,125.5,28.9,57.9,60.8,3.0,21.1,45.8,17.1,0.7,1.9,21.4,0.481,0.444
2,Sr,Buddy Hield,Oklahoma,B12,87.6,6.7,11.8,121.5,28.4,62.3,66.5,4.0,13.0,12.7,17.1,1.4,1.8,33.3,0.552,0.457
3,So,Grayson Allen,Duke,ACC,90.8,6.6,8.8,124.9,25.9,55.4,61.6,2.1,11.6,19.4,12.3,0.3,2.1,49.1,0.502,0.417
12,Sr,Thomas Walkup,Stephen F. Austin,Slnd,75.3,5.5,14.2,134.0,27.2,59.9,65.7,9.2,18.7,31.1,12.0,1.9,4.1,56.7,0.628,0.243
15,So,Jakob Poeltl,Utah,P12,75.4,5.4,9.7,124.0,26.0,64.0,66.2,11.9,22.0,13.9,14.9,4.8,1.2,66.6,0.64,0.0
16,Sr,Kevin Punter Jr.,Tennessee,SEC,65.1,5.4,7.2,115.9,28.6,53.5,60.0,0.6,9.9,22.6,14.7,0.7,2.3,52.5,0.522,0.369
21,Sr,Andrew Andrews,Washington,P12,83.0,5.3,8.0,117.4,27.2,47.7,58.1,4.3,12.7,26.7,15.5,0.1,2.1,69.8,0.388,0.401
23,Sr,Kyle Wiltjer,Gonzaga,WCC,84.1,5.2,8.4,120.3,26.3,58.0,61.8,5.8,14.0,9.3,13.6,2.3,0.6,28.1,0.529,0.438
25,Jr,Jaron Blossomgame,Clemson,ACC,84.8,5.1,8.7,118.9,25.8,57.0,61.3,6.1,16.6,10.7,12.6,4.2,1.4,43.4,0.536,0.446
26,Sr,Brice Johnson,North Carolina,ACC,70.1,5.1,11.8,126.8,24.5,61.4,64.9,11.7,28.5,9.7,14.5,5.5,2.2,42.3,0.614,0.0
34,Fr,Ben Simmons,LSU,SEC,86.5,5.0,9.8,112.9,28.2,56.1,60.0,9.6,26.8,27.4,18.6,2.5,3.1,76.9,0.561,0.333
39,So,Domantas Sabonis,Gonzaga,WCC,79.9,4.8,7.6,120.0,26.0,61.2,65.1,11.6,28.2,11.4,18.5,2.7,1.1,51.3,0.615,0.357
40,Sr,Perry Ellis,Kansas,B12,75.1,4.8,8.3,120.1,24.1,56.4,60.7,6.9,14.5,8.7,11.8,1.8,0.9,39.0,0.548,0.438
47,Sr,Michael Gbinije,Syracuse,ACC,93.8,4.6,7.5,111.2,24.8,55.4,57.4,3.2,8.7,26.5,18.5,1.1,3.1,32.8,0.525,0.391
54,Jr,Isaiah Taylor,Texas,B12,76.6,4.5,6.4,112.2,27.7,44.6,52.6,1.5,9.0,35.4,12.9,0.7,1.7,51.6,0.443,0.306
55,Jr,Josh Hart,Villanova,BE,78.2,4.5,8.6,117.7,23.5,57.5,60.2,7.6,17.1,12.4,13.3,0.9,2.2,30.6,0.595,0.357
58,Sr,Bryn Forbes,Michigan St.,B10,69.6,4.5,7.7,132.2,18.1,64.4,66.7,1.5,6.5,9.7,10.0,0.1,0.9,21.9,0.482,0.481
67,Fr,Brandon Ingram,Duke,ACC,85.9,4.3,6.7,112.1,24.6,52.5,55.3,6.1,15.4,11.3,13.7,3.6,1.9,35.1,0.464,0.41
68,Sr,Ryan Arcidiacono,Villanova,BE,79.9,4.3,7.9,119.9,20.1,54.7,58.8,1.5,8.7,24.1,14.1,0.1,2.5,29.6,0.5,0.394
