RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
3.0,Saint Mary's,WCC,118.6,99.6,58.4,46.2,15.4,15.5,29.8,26.7,29.0,24.1,68.8,68.0,56.4,44.8,41.0,32.7
5.0,Iowa St.,B12,122.1,100.2,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,70.2,68.8,56.7,49.5,38.7,33.5
7.0,Michigan St.,B10,123.4,97.1,56.3,43.3,17.6,14.2,37.1,24.3,30.0,34.1,72.9,71.4,51.4,41.7,43.4,31.0
8.0,Villanova,BE,124.0,92.0,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,78.2,66.2,57.4,44.1,36.2,33.9
11.0,Kansas,B12,121.6,91.4,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,71.3,72.3,52.7,43.4,41.3,32.5
12.0,SMU,Amer,118.2,98.0,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,70.0,63.7,52.5,44.6,42.0,33.1
13.0,Maryland,B10,116.0,97.5,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,76.9,71.2,55.8,45.5,36.2,32.1
14.0,Gonzaga,WCC,118.4,95.6,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,75.8,70.4,54.3,44.4,37.8,30.3
17.0,Virginia,ACC,120.8,92.1,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,75.2,70.2,52.6,46.3,40.3,34.7
21.0,Michigan,B10,114.2,100.3,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27.0,74.0,72.8,52.6,51.1,38.0,34.7
24.0,Winthrop,BSth,107.1,108.3,54.2,47.7,17.8,15.9,26.0,32.0,41.1,31.9,75.1,71.5,53.9,47.1,36.4,32.7
25.0,Miami FL,ACC,120.3,97.7,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,74.9,71.7,53.2,46.9,37.5,34.4
26.0,Princeton,Ivy,113.0,100.9,54.2,49.2,16.2,18.2,28.0,26.3,33.9,31.1,71.8,66.7,52.0,47.6,38.1,35.4
