ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Sr,Frank Mason III,Kansas,B12,89.4,6.8,10.0,125.2,25.5,57.3,62.2,2.0,10.4,26.1,14.4,0.2,2.0,48.4,0.5,0.471
2,So,Luke Kennard,Duke,ACC,88.8,6.4,9.3,127.3,23.0,57.9,62.9,3.9,12.1,13.6,11.2,0.9,1.4,38.6,0.525,0.438
3,Jr,Semi Ojeleye,SMU,Amer,85.4,6.1,8.4,127.5,24.5,57.2,62.1,8.4,15.0,9.3,10.7,1.6,0.8,50.8,0.529,0.424
4,Sr,Derrick Walton Jr.,Michigan,B10,86.2,6.1,9.5,125.8,23.8,56.1,62.3,1.7,16.1,27.3,13.2,0.1,2.0,43.4,0.456,0.422
5,Sr,Monte Morris,Iowa St.,B12,86.8,6.0,9.4,124.2,23.8,52.3,55.5,3.7,11.3,32.0,8.1,0.8,2.4,23.9,0.503,0.378
6,Sr,Josh Hart,Villanova,BE,82.9,6.0,10.8,122.3,27.1,59.0,61.9,5.9,17.5,18.8,13.4,1.0,2.9,36.7,0.579,0.404
7,So,Mike Daum,South Dakota St.,Sum,81.6,5.9,6.3,121.0,33.0,58.8,65.5,7.9,20.0,11.2,14.9,1.2,1.0,53.3,0.564,0.419
8,Sr,Sindarius Thornwell,South Carolina,SEC,71.9,5.9,15.8,118.2,29.2,51.0,59.0,8.0,16.2,19.4,14.2,3.4,3.6,59.0,0.471,0.392
10,So,Jawun Evans,Oklahoma St.,B12,70.8,5.7,8.5,116.1,33.3,47.5,53.3,2.8,10.8,44.2,15.9,0.5,3.2,38.6,0.453,0.376
11,Jr,Jeffrey Carroll,Oklahoma St.,B12,73.4,5.6,9.4,130.4,22.5,61.6,65.4,7.4,18.3,7.8,12.8,0.6,1.6,40.6,0.589,0.443
12,Jr,Bonzie Colson,Notre Dame,ACC,80.0,5.6,9.5,122.8,25.6,55.5,59.8,10.6,25.4,10.2,8.8,4.5,2.0,40.1,0.54,0.433
14,Fr,Lonzo Ball,UCLA,P12,87.6,5.5,11.0,129.4,20.1,66.8,67.3,3.2,14.3,31.4,18.9,2.1,2.8,28.6,0.732,0.412
15,So,Jalen Brunson,Villanova,BE,77.8,5.4,7.1,125.7,23.5,60.4,65.5,2.1,7.9,26.1,17.2,0.0,1.7,40.5,0.621,0.378
