RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Syracuse,2.9,3.4,4,1,0.8,1,1,1,1,1,0,0,0,4.70%,0.60%
2,Villanova,2.7,3.7,6,0,1,1,1,1,1,1,1,1,1,40.80%,21.10%
3,Notre Dame,2,1.9,3,1,0.75,1,1,1,1,0,0,0,0,2.70%,0.20%
4,North Carolina,1.9,1.7,5,1,0.833,1,1,1,1,1,1,0,1,40.10%,14.60%
5,Oklahoma,1.8,1.7,4,1,0.8,1,1,1,1,1,0,0,1,22.80%,3.90%
6,Wisconsin,1.1,1.1,2,1,0.667,1,1,1,0,0,0,0,0,2.70%,0.20%
7,Middle Tennessee,0.8,0.9,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
8,Gonzaga,0.8,1.3,2,1,0.667,1,1,1,0,0,0,0,0,6.60%,1.00%
9,Maryland,0.7,0.8,2,1,0.667,1,1,1,0,0,0,0,0,3.90%,0.60%
10,Oregon,0.7,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,22.40%,3.50%
11,Indiana,0.5,0.8,2,1,0.667,1,1,1,0,0,0,0,0,8.60%,1.40%
12,Miami FL,0.5,0.2,2,1,0.667,1,1,1,0,0,0,0,0,6.30%,1.40%
13,Iowa St.,0.5,0.4,2,1,0.667,1,1,1,0,0,0,0,0,7.70%,1.20%
14,Little Rock,0.5,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.10%
15,Duke,0.5,0.4,2,1,0.667,1,1,1,0,0,0,0,0,10.60%,1.20%
16,Northern Iowa,0.4,0.3,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.00%
17,Hawaii,0.4,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
18,Providence,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.50%,0.10%
19,Yale,0.3,0.5,1,1,0.5,1,1,0,0,0,0,0,0,2.90%,0.20%
20,Stephen F. Austin,0.3,0.8,1,1,0.5,1,1,0,0,0,0,0,0,3.20%,0.30%
21,Butler,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2.30%,0.20%
22,Saint Joseph's,0.2,0.3,1,1,0.5,1,1,0,0,0,0,0,0,3.40%,0.20%
23,Texas A&M,0.2,0.2,2,1,0.667,1,1,1,0,0,0,0,0,14.10%,1.60%
24,Iowa,0,0.1,1,1,0.5,1,1,0,0,0,0,0,0,2.70%,0.40%
25,Holy Cross,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
26,Connecticut,0,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2.90%,0.40%
27,Austin Peay,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
28,Hampton,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
29,Kansas,0,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,31.10%,12.90%
30,UNC Asheville,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
31,Utah,-0.1,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,2.90%,0.20%
32,Virginia,-0.1,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,39.90%,13.90%
33,Florida Gulf Coast,-0.1,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
34,VCU,-0.1,0.4,1,1,0.5,1,1,0,0,0,0,0,0,5.80%,0.40%
35,Cal St. Bakersfield,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
36,Stony Brook,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
37,Green Bay,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
38,Chattanooga,-0.2,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
39,Buffalo,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
40,Weber St.,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
41,Wichita St.,-0.2,0.3,1,1,0.5,1,1,0,0,0,0,0,0,6.10%,1.60%
42,Temple,-0.3,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
43,Iona,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
44,UNC Wilmington,-0.4,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.70%,0.00%
45,Fresno St.,-0.4,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
46,Colorado,-0.4,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
47,South Dakota St.,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
48,Oregon St.,-0.5,-0.9,0,1,0,1,0,0,0,0,0,0,0,1.00%,0.00%
49,Dayton,-0.5,-0.9,0,1,0,1,0,0,0,0,0,0,0,0.60%,0.00%
50,Texas Tech,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.00%
51,Michigan,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.00%
52,USC,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.70%,0.00%
53,Arizona,-0.7,-1.1,0,1,0,1,0,0,0,0,0,0,0,2.20%,0.40%
54,Pittsburgh,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.70%,0.10%
55,Kentucky,-0.8,-0.6,1,1,0.5,1,1,0,0,0,0,0,0,12.90%,2.70%
56,Cincinnati,-0.8,-0.6,0,1,0,1,0,0,0,0,0,0,0,3.80%,0.30%
57,Xavier,-1,-1.3,1,1,0.5,1,1,0,0,0,0,0,1,14.10%,2.60%
58,Seton Hall,-1,-1.1,0,1,0,1,0,0,0,0,0,0,0,4.90%,0.60%
59,Texas,-1.1,-1.1,0,1,0,1,0,0,0,0,0,0,0,4.80%,0.30%
60,California,-1.1,-1.6,0,1,0,1,0,0,0,0,0,0,0,2.70%,0.40%
61,Baylor,-1.1,-1.2,0,1,0,1,0,0,0,0,0,0,0,6.00%,0.50%
62,Purdue,-1.4,-1.2,0,1,0,1,0,0,0,0,0,0,0,8.00%,1.30%
63,West Virginia,-1.5,-1.8,0,1,0,1,0,0,0,0,0,0,0,10.70%,2.00%
64,Michigan St.,-2.3,-2.3,0,1,0,1,0,0,0,0,0,0,1,20.30%,4.90%
